reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.01,70.11563260126168
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.025,77.62709783262697
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.05,85.65503249121856
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.1,95.7730442478837
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.15,105.43488660780993
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.2,110.0790464051797
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.25,115.75452398114979
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.3,119.93449345008361
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.35,122.66853648991697
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.4,125.54352061650513
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.45,128.78434905987368
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.5,131.26052631578952
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.55,134.66
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.6,137.11
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.65,139.68
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.7,142.43
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.75,145.45
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.8,148.87
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.85,152.95
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.9,158.21
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.95,166.29
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.975,173.56
2026-01-31,01,-1,wk inc covid hosp,2026-01-24,quantile,0.99,182.36
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.01,1.2777777777777777
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.025,2.8333333333333335
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.05,4.166666666666666
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.1,7.9270545769841245
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.15,10.721268429444443
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.2,14.190805633111115
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.25,18.63061783984127
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.3,20.498577531777777
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.35,23.41364891133332
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.4,25.863572670634927
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.45,27.56342046066667
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.5,31.349826472222226
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.55,34.45673748377777
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.6,37.60102971825396
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.65,40.3481756997778
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.7,43.57713596822222
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.75,45.8478734379365
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.8,50.55157453355555
2026-01-31,01,0,wk inc covid hosp,2026-01-31,quantile,0.85,54.96555618166667
