location_name,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted
Alabama,1.327912367165424,1.327912367165424,1.327912367165424,65.11,65.11,65.11,1.33,1.33,1.33,65,65,65,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.374004856027256,1.374004856027256,1.374004856027256,67.37,67.37,67.37,1.37,1.37,1.37,67,67,67,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.4149986182450793,1.4149986182450793,1.4149986182450793,69.38,69.38,69.38,1.41,1.41,1.41,69,69,69,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.4633345468302748,1.4633345468302748,1.4633345468302748,71.75,71.75,71.75,1.46,1.46,1.46,72,72,72,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.4965782445492062,1.4965782445492062,1.4965782445492062,73.38,73.38,73.38,1.5,1.5,1.5,73,73,73,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.5890283560583578,1.5890283560583578,1.5890283560583578,77.913,77.913,77.913,1.59,1.59,1.59,78,78,78,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.6101166894579748,1.6101166894579748,1.6101166894579748,78.947,78.947,78.947,1.61,1.61,1.61,79,79,79,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.6297773793972694,1.6297773793972694,1.6297773793972694,79.911,79.911,79.911,1.63,1.63,1.63,80,80,80,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.6441557885333717,1.6441557885333717,1.6441557885333717,80.616,80.616,80.616,1.64,1.64,1.64,81,81,81,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.6634289752477216,1.6634289752477216,1.6634289752477216,81.561,81.561,81.561,1.66,1.66,1.66,82,82,82,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.6740547215738342,1.6740547215738342,1.6740547215738342,82.082,82.082,82.082,1.67,1.67,1.67,82,82,82,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.6905338060872677,1.6905338060872677,1.6905338060872677,82.89,82.89,82.89,1.69,1.69,1.69,83,83,83,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.709195145604337,1.709195145604337,1.709195145604337,83.805,83.805,83.805,1.71,1.71,1.71,84,84,84,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.7274689818964608,1.7274689818964608,1.7274689818964608,84.701,84.701,84.701,1.73,1.73,1.73,85,85,85,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.741235543835283,1.741235543835283,1.741235543835283,85.376,85.376,85.376,1.74,1.74,1.74,85,85,85,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.758265290826269,1.758265290826269,1.758265290826269,86.211,86.211,86.211,1.76,1.76,1.76,86,86,86,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.7706857889310723,1.7706857889310723,1.7706857889310723,86.82,86.82,86.82,1.77,1.77,1.77,87,87,87,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.7870017141918977,1.7870017141918977,1.7870017141918977,87.62,87.62,87.62,1.79,1.79,1.79,88,88,88,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.805153181044566,1.805153181044566,1.805153181044566,88.51,88.51,88.51,1.81,1.81,1.81,89,89,89,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.8447192998020676,1.8447192998020676,1.8447192998020676,90.45,90.45,90.45,1.84,1.84,1.84,90,90,90,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.9050882232671211,1.9050882232671211,1.9050882232671211,93.41,93.41,93.41,1.91,1.91,1.91,93,93,93,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,1.9585228784963244,1.9585228784963244,1.9585228784963244,96.03,96.03,96.03,1.96,1.96,1.96,96,96,96,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,2.0223589360793035,2.0223589360793035,2.0223589360793035,99.16,99.16,99.16,2.02,2.02,2.02,99,99,99,wk inc covid hosp,2024-11-23,2024-11-30,"November 23, 2024","November 30, 2024"
Alabama,0.8367606532829904,0.8367606532829904,0.8367606532829904,41.0279228376736,41.0279228376736,41.0279228376736,0.84,0.84,0.84,41,41,41,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,0.9035385785691545,0.9035385785691545,0.9035385785691545,44.302168053616,44.302168053616,44.302168053616,0.9,0.9,0.9,44,44,44,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.036413772889683,1.036413772889683,1.036413772889683,50.817284650261,50.817284650261,50.817284650261,1.04,1.04,1.04,51,51,51,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.2576859055219556,1.2576859055219556,1.2576859055219556,61.6666666666667,61.6666666666667,61.6666666666667,1.26,1.26,1.26,62,62,62,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.3831825639864699,1.3831825639864699,1.3831825639864699,67.82,67.82,67.82,1.38,1.38,1.38,68,68,68,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.4218309119480501,1.4218309119480501,1.4218309119480501,69.715,69.715,69.715,1.42,1.42,1.42,70,70,70,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.4683312989414024,1.4683312989414024,1.4683312989414024,71.995,71.995,71.995,1.47,1.47,1.47,72,72,72,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.5033085637192967,1.5033085637192967,1.5033085637192967,73.71,73.71,73.71,1.5,1.5,1.5,74,74,74,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.5476674855221657,1.5476674855221657,1.5476674855221657,75.885,75.885,75.885,1.55,1.55,1.55,76,76,76,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.6579694537432894,1.6579694537432894,1.6579694537432894,81.2933095605229,81.2933095605229,81.2933095605229,1.66,1.66,1.66,81,81,81,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.698950565449254,1.698950565449254,1.698950565449254,83.302689282523,83.302689282523,83.302689282523,1.7,1.7,1.7,83,83,83,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.723677144134368,1.723677144134368,1.723677144134368,84.5150791796247,84.5150791796247,84.5150791796247,1.72,1.72,1.72,85,85,85,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.7479274437803263,1.7479274437803263,1.7479274437803263,85.7041162343204,85.7041162343204,85.7041162343204,1.75,1.75,1.75,86,86,86,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.77009426542446,1.77009426542446,1.77009426542446,86.7909965081523,86.7909965081523,86.7909965081523,1.77,1.77,1.77,87,87,87,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.8441354191106496,1.8441354191106496,1.8441354191106496,90.4213712495205,90.4213712495205,90.4213712495205,1.84,1.84,1.84,90,90,90,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,1.9585910967096614,1.9585910967096614,1.9585910967096614,96.0333448652036,96.0333448652036,96.0333448652036,1.96,1.96,1.96,96,96,96,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,2.0237334438919885,2.0237334438919885,2.0237334438919885,99.2273946608954,99.2273946608954,99.2273946608954,2.02,2.02,2.02,99,99,99,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,2.123153971006091,2.123153971006091,2.123153971006091,104.102167033275,104.102167033275,104.102167033275,2.12,2.12,2.12,104,104,104,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,2.234869476178056,2.234869476178056,2.234869476178056,109.579784925541,109.579784925541,109.579784925541,2.23,2.23,2.23,110,110,110,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,2.2989036717970053,2.2989036717970053,2.2989036717970053,112.7195,112.7195,112.7195,2.3,2.3,2.3,113,113,113,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,2.393281101977592,2.393281101977592,2.393281101977592,117.347,117.347,117.347,2.39,2.39,2.39,117,117,117,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,2.605747064103149,2.605747064103149,2.605747064103149,127.764599185046,127.764599185046,127.764599185046,2.61,2.61,2.61,128,128,128,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,3.0714007864232946,3.0714007864232946,3.0714007864232946,150.596462649789,150.596462649789,150.596462649789,3.07,3.07,3.07,151,151,151,wk inc covid hosp,2024-11-30,2024-11-30,"November 30, 2024","November 30, 2024"
Alabama,0.6669721598625179,0.6669721598625179,0.6669721598625179,32.702878896555,32.702878896555,32.702878896555,0.67,0.67,0.67,33,33,33,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,0.8725547916755028,0.8725547916755028,0.8725547916755028,42.7829756622145,42.7829756622145,42.7829756622145,0.87,0.87,0.87,43,43,43,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.0035555825288276,1.0035555825288276,1.0035555825288276,49.2061867892161,49.2061867892161,49.2061867892161,1,1,1,49,49,49,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.1535700321148337,1.1535700321148337,1.1535700321148337,56.5616727791497,56.5616727791497,56.5616727791497,1.15,1.15,1.15,57,57,57,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.210743628886122,1.210743628886122,1.210743628886122,59.365,59.365,59.365,1.21,1.21,1.21,59,59,59,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.2742737628704606,1.2742737628704606,1.2742737628704606,62.48,62.48,62.48,1.27,1.27,1.27,62,62,62,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.3452480377550509,1.3452480377550509,1.3452480377550509,65.96,65.96,65.96,1.35,1.35,1.35,66,66,66,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.404393266825543,1.404393266825543,1.404393266825543,68.86,68.86,68.86,1.4,1.4,1.4,69,69,69,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.469748498912038,1.469748498912038,1.469748498912038,72.0644879363802,72.0644879363802,72.0644879363802,1.47,1.47,1.47,72,72,72,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.6358960990176916,1.6358960990176916,1.6358960990176916,80.2110121426206,80.2110121426206,80.2110121426206,1.64,1.64,1.64,80,80,80,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.677546892242377,1.677546892242377,1.677546892242377,82.2532275883944,82.2532275883944,82.2532275883944,1.68,1.68,1.68,82,82,82,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.7242875968261426,1.7242875968261426,1.7242875968261426,84.5450108044399,84.5450108044399,84.5450108044399,1.72,1.72,1.72,85,85,85,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.7872322870212036,1.7872322870212036,1.7872322870212036,87.6313054123806,87.6313054123806,87.6313054123806,1.79,1.79,1.79,88,88,88,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.8538379855549973,1.8538379855549973,1.8538379855549973,90.8971060320348,90.8971060320348,90.8971060320348,1.85,1.85,1.85,91,91,91,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,1.9649730954842846,1.9649730954842846,1.9649730954842846,96.3462660718211,96.3462660718211,96.3462660718211,1.96,1.96,1.96,96,96,96,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,2.157865205865371,2.157865205865371,2.157865205865371,105.80412309421,105.80412309421,105.80412309421,2.16,2.16,2.16,106,106,106,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
Alabama,2.2362351542292003,2.2362351542292003,2.2362351542292003,109.646746646893,109.646746646893,109.646746646893,2.24,2.24,2.24,110,110,110,wk inc covid hosp,2024-12-07,2024-11-30,"December 07, 2024","November 30, 2024"
