reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.01,0.0
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.025,0.0
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.05,7.120236419677838
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.1,74.23070397949226
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.15,110.90173867130255
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.2,125.71623213768062
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.25,185.50224158859257
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.3,195.14824336242668
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.35,198.71852298593515
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.4,208.35386560869225
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.45,211.69065068364145
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.5,213.75799560546875
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.55,213.7681505858898
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.6,217.10493566083903
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.65,226.7402782835961
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.7,230.31055790710457
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.75,239.9565596809387
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.8,299.74256913185064
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.85,314.5570625982287
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.9,351.228097290039
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.95,418.3385648498534
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.975,451.9059448242187
2025-01-18,0,wk inc covid hosp,2025-01-18,01,quantile,0.99,451.9059448242187
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.01,2.1258387565612793
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.025,2.1258387565612793
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.05,2.495191823422912
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.1,2.7180374107360787
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.15,9.056395124435433
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.2,9.219951578140268
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.25,10.641004299163818
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.3,11.259171917796124
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.35,12.072235470771822
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.4,13.810112424373632
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.45,14.549796006441149
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.5,15.05227279663086
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.55,15.464186766386002
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.6,16.203870348453517
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.65,17.941747302055326
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.7,18.754810855031025
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.75,19.37297847366333
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.8,20.79403119468688
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.85,20.957587648391716
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.9,27.295945362091068
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.95,27.51879094940423
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.975,27.88814401626587
2025-01-18,0,wk inc covid hosp,2025-01-18,02,quantile,0.99,27.88814401626587
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.01,0.0
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.025,0.0
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.05,18.24886954450676
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.1,74.38986996459869
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.15,160.12563601684826
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.2,257.89962294006347
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.25,305.63537326049703
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.3,342.0757593536377
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.35,357.22949839401247
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.4,369.6749650955197
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.45,412.0830006065381
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.5,413.95957946777344
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.55,415.6857982215869
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.6,458.0938337326053
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.65,470.53930043411253
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.7,485.6930394744873
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.75,522.133425567628
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.8,569.8691758880616
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.85,667.6431628112767
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.9,753.3789288635263
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.95,809.5199292836182
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.975,847.3141975402832
2025-01-18,0,wk inc covid hosp,2025-01-18,04,quantile,0.99,847.3141975402832
2025-01-18,0,wk inc covid hosp,2025-01-18,05,quantile,0.01,9.19403076171875
2025-01-18,0,wk inc covid hosp,2025-01-18,05,quantile,0.025,9.19403076171875
2025-01-18,0,wk inc covid hosp,2025-01-18,05,quantile,0.05,10.676711959838867
2025-01-18,0,wk inc covid hosp,2025-01-18,05,quantile,0.1,43.27780607604978
2025-01-18,0,wk inc covid hosp,2025-01-18,05,quantile,0.15,48.34541280651091
2025-01-18,0,wk inc covid hosp,2025-01-18,05,quantile,0.2,50.14460018730172
