location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,0.0,2026-02-21,2026-02-21,quantile,wk inc covid hosp
02,0,0.01,0.0,2026-02-21,2026-02-21,quantile,wk inc covid hosp
04,0,0.01,24.73489514436682,2026-02-21,2026-02-21,quantile,wk inc covid hosp
05,0,0.01,11.322001756242027,2026-02-21,2026-02-21,quantile,wk inc covid hosp
06,0,0.01,175.26977116473756,2026-02-21,2026-02-21,quantile,wk inc covid hosp
08,0,0.01,56.028332139924885,2026-02-21,2026-02-21,quantile,wk inc covid hosp
09,0,0.01,36.780125422119234,2026-02-21,2026-02-21,quantile,wk inc covid hosp
10,0,0.01,8.024702651353936,2026-02-21,2026-02-21,quantile,wk inc covid hosp
11,0,0.01,5.362075505826003,2026-02-21,2026-02-21,quantile,wk inc covid hosp
12,0,0.01,80.0162393583089,2026-02-21,2026-02-21,quantile,wk inc covid hosp
13,0,0.01,69.65844022508396,2026-02-21,2026-02-21,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-02-21,2026-02-21,quantile,wk inc covid hosp
16,0,0.01,3.2871710985039138,2026-02-21,2026-02-21,quantile,wk inc covid hosp
17,0,0.01,264.1985052707884,2026-02-21,2026-02-21,quantile,wk inc covid hosp
18,0,0.01,131.70202933753706,2026-02-21,2026-02-21,quantile,wk inc covid hosp
19,0,0.01,38.367684422944016,2026-02-21,2026-02-21,quantile,wk inc covid hosp
20,0,0.01,22.427805558930366,2026-02-21,2026-02-21,quantile,wk inc covid hosp
21,0,0.01,34.055626284109735,2026-02-21,2026-02-21,quantile,wk inc covid hosp
22,0,0.01,26.127158568892646,2026-02-21,2026-02-21,quantile,wk inc covid hosp
23,0,0.01,3.2087751269470215,2026-02-21,2026-02-21,quantile,wk inc covid hosp
24,0,0.01,37.73913512319257,2026-02-21,2026-02-21,quantile,wk inc covid hosp
25,0,0.01,53.238352298208454,2026-02-21,2026-02-21,quantile,wk inc covid hosp
26,0,0.01,125.74450954959677,2026-02-21,2026-02-21,quantile,wk inc covid hosp
27,0,0.01,62.04705665784405,2026-02-21,2026-02-21,quantile,wk inc covid hosp
28,0,0.01,32.16615677452027,2026-02-21,2026-02-21,quantile,wk inc covid hosp
29,0,0.01,50.649314402730816,2026-02-21,2026-02-21,quantile,wk inc covid hosp
30,0,0.01,5.989590436770883,2026-02-21,2026-02-21,quantile,wk inc covid hosp
31,0,0.01,21.486862532830365,2026-02-21,2026-02-21,quantile,wk inc covid hosp
32,0,0.01,8.739788343074606,2026-02-21,2026-02-21,quantile,wk inc covid hosp
33,0,0.01,4.450690052682958,2026-02-21,2026-02-21,quantile,wk inc covid hosp
34,0,0.01,86.39484220034906,2026-02-21,2026-02-21,quantile,wk inc covid hosp
35,0,0.01,16.127547430210736,2026-02-21,2026-02-21,quantile,wk inc covid hosp
36,0,0.01,161.56615170848318,2026-02-21,2026-02-21,quantile,wk inc covid hosp
37,0,0.01,93.52735691890571,2026-02-21,2026-02-21,quantile,wk inc covid hosp
38,0,0.01,18.282246516541875,2026-02-21,2026-02-21,quantile,wk inc covid hosp
39,0,0.01,194.8566588872229,2026-02-21,2026-02-21,quantile,wk inc covid hosp
40,0,0.01,70.69549139657836,2026-02-21,2026-02-21,quantile,wk inc covid hosp
41,0,0.01,3.9288407362936524,2026-02-21,2026-02-21,quantile,wk inc covid hosp
42,0,0.01,255.00481385116768,2026-02-21,2026-02-21,quantile,wk inc covid hosp
44,0,0.01,6.708687841525093,2026-02-21,2026-02-21,quantile,wk inc covid hosp
45,0,0.01,47.15026110863299,2026-02-21,2026-02-21,quantile,wk inc covid hosp
46,0,0.01,8.143367691322362,2026-02-21,2026-02-21,quantile,wk inc covid hosp
47,0,0.01,36.48870338851179,2026-02-21,2026-02-21,quantile,wk inc covid hosp
48,0,0.01,90.10679272875191,2026-02-21,2026-02-21,quantile,wk inc covid hosp
49,0,0.01,0.0,2026-02-21,2026-02-21,quantile,wk inc covid hosp
50,0,0.01,1.853185878560099,2026-02-21,2026-02-21,quantile,wk inc covid hosp
51,0,0.01,64.50330659237841,2026-02-21,2026-02-21,quantile,wk inc covid hosp
53,0,0.01,37.58345563078228,2026-02-21,2026-02-21,quantile,wk inc covid hosp
54,0,0.01,38.301590065645556,2026-02-21,2026-02-21,quantile,wk inc covid hosp
55,0,0.01,134.44723272593214,2026-02-21,2026-02-21,quantile,wk inc covid hosp
56,0,0.01,11.449267904309519,2026-02-21,2026-02-21,quantile,wk inc covid hosp
72,0,0.01,2.5782138858696215,2026-02-21,2026-02-21,quantile,wk inc covid hosp
US,0,0.01,3719.413723411056,2026-02-21,2026-02-21,quantile,wk inc covid hosp
01,0,0.025,0.0,2026-02-21,2026-02-21,quantile,wk inc covid hosp
02,0,0.025,0.0,2026-02-21,2026-02-21,quantile,wk inc covid hosp
04,0,0.025,28.939082192398743,2026-02-21,2026-02-21,quantile,wk inc covid hosp
