location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,65.67450318132784,2026-01-17,2026-01-17,quantile,wk inc covid hosp
02,0,0.01,2.163203532758391,2026-01-17,2026-01-17,quantile,wk inc covid hosp
04,0,0.01,41.417946110853244,2026-01-17,2026-01-17,quantile,wk inc covid hosp
05,0,0.01,29.614545485951425,2026-01-17,2026-01-17,quantile,wk inc covid hosp
06,0,0.01,199.93259059469563,2026-01-17,2026-01-17,quantile,wk inc covid hosp
08,0,0.01,61.498651038530866,2026-01-17,2026-01-17,quantile,wk inc covid hosp
09,0,0.01,96.83721590094598,2026-01-17,2026-01-17,quantile,wk inc covid hosp
10,0,0.01,20.244980750022695,2026-01-17,2026-01-17,quantile,wk inc covid hosp
11,0,0.01,6.87817994875142,2026-01-17,2026-01-17,quantile,wk inc covid hosp
12,0,0.01,110.24561092005743,2026-01-17,2026-01-17,quantile,wk inc covid hosp
13,0,0.01,68.24545740208681,2026-01-17,2026-01-17,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-01-17,2026-01-17,quantile,wk inc covid hosp
16,0,0.01,8.647326853729627,2026-01-17,2026-01-17,quantile,wk inc covid hosp
17,0,0.01,490.75245811187244,2026-01-17,2026-01-17,quantile,wk inc covid hosp
18,0,0.01,272.58693466908375,2026-01-17,2026-01-17,quantile,wk inc covid hosp
19,0,0.01,59.7864857821944,2026-01-17,2026-01-17,quantile,wk inc covid hosp
20,0,0.01,48.48123059917362,2026-01-17,2026-01-17,quantile,wk inc covid hosp
21,0,0.01,79.90341681700383,2026-01-17,2026-01-17,quantile,wk inc covid hosp
22,0,0.01,28.206632359028,2026-01-17,2026-01-17,quantile,wk inc covid hosp
23,0,0.01,22.92441738927081,2026-01-17,2026-01-17,quantile,wk inc covid hosp
24,0,0.01,55.723604970227576,2026-01-17,2026-01-17,quantile,wk inc covid hosp
25,0,0.01,172.58080549512133,2026-01-17,2026-01-17,quantile,wk inc covid hosp
26,0,0.01,269.15333013912766,2026-01-17,2026-01-17,quantile,wk inc covid hosp
27,0,0.01,100.80758708547411,2026-01-17,2026-01-17,quantile,wk inc covid hosp
