"location","horizon","output_type_id","value","target_end_date","reference_date","output_type","target"
"01",0,0.01,52.7336937596861,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"02",0,0.01,0,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"04",0,0.01,454.219651047601,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"05",0,0.01,16.2713382527683,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"06",0,0.01,518.307664045855,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"08",0,0.01,88.4707832447956,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"09",0,0.01,19.6331237903577,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"10",0,0.01,21.4066188342597,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"12",0,0.01,99.0090738480349,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"13",0,0.01,36.2985831928322,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"15",0,0.01,8.98634130366595,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"16",0,0.01,10.7066510663161,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"17",0,0.01,281.281813174063,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"18",0,0.01,103.764627271319,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"19",0,0.01,47.0952353001154,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"20",0,0.01,16.0940361520222,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"21",0,0.01,50.539538788041,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"22",0,0.01,33.099340767439,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"24",0,0.01,51.1558971536093,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"27",0,0.01,120.008932228046,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"28",0,0.01,31.2590856716426,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"29",0,0.01,123.775360266036,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"30",0,0.01,30.097595820041,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"31",0,0.01,19.0285948427043,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"32",0,0.01,26.0886540374393,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"33",0,0.01,27.3322469756649,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"34",0,0.01,151.739705820239,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"36",0,0.01,303.676300592649,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"37",0,0.01,121.79796276578,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"38",0,0.01,3.24295606350327,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"39",0,0.01,356.382541120664,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"40",0,0.01,41.6674543808113,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"41",0,0.01,42.6429868330608,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"44",0,0.01,5.81848385094239,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"45",0,0.01,38.8850050225414,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"47",0,0.01,84.6953151768369,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"48",0,0.01,77.7232782744519,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"49",0,0.01,24.0064238308053,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"50",0,0.01,2.01921211345455,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"51",0,0.01,86.9965421614057,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"53",0,0.01,43.2366702103127,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"54",0,0.01,42.4031412631905,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"72",0,0.01,0,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"01",0,0.025,57.8525490070506,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"02",0,0.025,0,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"04",0,0.025,483.259297440118,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"05",0,0.025,20.5364216520857,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"06",0,0.025,559.89273019287,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"08",0,0.025,99.320127152282,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"09",0,0.025,23.5419051116942,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"10",0,0.025,24.0821528397886,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"12",0,0.025,125.808509887261,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"13",0,0.025,43.9033736626036,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"15",0,0.025,10.6515515126392,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"16",0,0.025,12.593592030678,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"17",0,0.025,301.710158247967,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"18",0,0.025,115.815190576608,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"19",0,0.025,51.9342967278114,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"20",0,0.025,20.0891252095267,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"21",0,0.025,61.0250751287509,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"22",0,0.025,38.6225488340821,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"24",0,0.025,55.7945868732556,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"27",0,0.025,132.389772040719,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"28",0,0.025,34.974834892061,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"29",0,0.025,132.596755026864,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"30",0,0.025,33.9788477403257,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"31",0,0.025,22.7575098802347,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"32",0,0.025,28.3226925270613,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"33",0,0.025,32.0046995512482,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"34",0,0.025,172.862277071883,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"36",0,0.025,329.318585738536,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"37",0,0.025,134.274988398466,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"38",0,0.025,4.41403074355186,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"39",0,0.025,376.768697033191,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
"40",0,0.025,48.0688223201585,2024-11-23,2024-11-23,"quantile","wk inc covid hosp"
