target_end_date,value,output_type_id,horizon,output_type,model_id,reference_date,location,target
2025-08-30,2.5204268,0.01,0,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-06,2.4234062,0.01,1,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-13,1.9338803,0.01,2,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-20,1.9839558,0.01,3,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-08-30,3.1760594,0.025,0,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-06,2.8941827,0.025,1,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-13,2.5599361,0.025,2,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-20,2.3473123,0.025,3,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-08-30,3.7392557,0.05,0,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-06,3.3966934,0.05,1,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-13,3.1624929,0.05,2,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-20,3.1224699,0.05,3,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-08-30,4.9052457,0.1,0,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-06,4.3058344,0.1,1,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-13,4.208048,0.1,2,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-20,4.1254374,0.1,3,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-08-30,5.5735717,0.15,0,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-06,5.0400132,0.15,1,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-13,4.9458043,0.15,2,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-20,4.9364631,0.15,3,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-08-30,6.1554587,0.2,0,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-06,5.7682254,0.2,1,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
2025-09-13,5.7513008,0.2,2,quantile,EpiAutoGP,2025-08-30,02,wk inc covid hosp
