target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2025-11-29,1.1624579,0.01,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,0.99640858,0.01,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,0.83816671,0.01,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,0.66776173,0.01,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,1.6933423,0.025,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,1.4896136,0.025,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,1.3243577,0.025,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,1.1901782,0.025,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,2.1578225,0.05,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,1.920523,0.05,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,1.9446222,0.05,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,1.8327913,0.05,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,2.9620815,0.1,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,2.7558526,0.1,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,2.8048334,0.1,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,2.5267293,0.1,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,3.4048715,0.15,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,3.3135258,0.15,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,3.519501,0.15,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,3.2996799,0.15,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,3.8834786,0.2,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,3.9192757,0.2,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,4.2255404,0.2,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,3.9410722,0.2,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,4.375496,0.25,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,4.3383522,0.25,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,4.7579573,0.25,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,4.6627906,0.25,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,4.8252916,0.3,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,4.8494388,0.3,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,5.3207793,0.3,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,5.2872385,0.3,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,5.2594383,0.35,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,5.4552287,0.35,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,5.8698129,0.35,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,5.9118484,0.35,3,quantile,2025-11-29,02,wk inc covid hosp
2025-11-29,5.6696084,0.4,0,quantile,2025-11-29,02,wk inc covid hosp
2025-12-06,5.8882436,0.4,1,quantile,2025-11-29,02,wk inc covid hosp
2025-12-13,6.2992379,0.4,2,quantile,2025-11-29,02,wk inc covid hosp
2025-12-20,6.5118452,0.4,3,quantile,2025-11-29,02,wk inc covid hosp
